id,issn,citescore,rank5,rank10
53e99893b7602d97020cc1b7,13674811,7.84,0,0
53e99894b7602d97020cee1d,02776715,1.99,0,1
53e99894b7602d97020cfe47,13674803,7.84,0,0
53e9989bb7602d97020d1fd3,00273171,2.75,0,0
53e9989bb7602d97020d2b97,13674811,7.84,0,0
53e9989bb7602d97020d45cd,01679473,1.54,1,2
53e9989bb7602d97020d47f0,0006341X,1.5,1,2
53e9989bb7602d97020d4917,13674811,7.84,0,0
53e9989cb7602d97020d703e,02776715,1.99,0,1
53e9989cb7602d97020d72dc,14684357,1.69,0,1
53e9989cb7602d97020d7f2c,15737845,1.07,1,3
53e998a2b7602d97020da117,13674811,7.84,0,0
53e998a2b7602d97020db048,13674811,7.84,0,0
53e998a9b7602d97020dfbfe,13674811,7.84,0,0
53e998a9b7602d97020e03c3,13674803,7.84,0,0
53e998a9b7602d97020e09f3,10485252,0.52,3,7
53e998a9b7602d97020e206e,13674811,7.84,0,0
53e998a9b7602d97020e26f1,01621459,2.16,0,0
53e998a9b7602d97020e5646,13674811,7.84,0,0
53e998aab7602d97020e6935,13674803,7.84,0,0
53e998afb7602d97020e747d,15410420,1.5,1,2
53e998b0b7602d97020ebcec,03032647,1.61,1,2
53e998b0b7602d97020eddb4,13674803,7.84,0,0
53e998b0b7602d97020edded,13674803,7.84,0,0
53e998b0b7602d97020ee159,02776715,1.99,0,1
53e998b8b7602d97020f0116,02776715,1.99,0,1
53e998b8b7602d97020f1d8c,13674811,7.84,0,0
53e998b8b7602d97020f20cf,13674803,7.84,0,0
53e998b8b7602d97020f277c,13674803,7.84,0,0
53e998b8b7602d97020f2825,14322064,1.91,0,1
53e998b8b7602d97020f4f13,13674811,7.84,0,0
53e998bfb7602d97020f5a63,13674803,7.84,0,0
53e998bfb7602d97020f5e90,14654644,1.69,0,1
53e998bfb7602d97020f7b18,02776715,1.99,0,1
53e998bfb7602d97020f8df0,13674811,7.84,0,0
53e998bfb7602d97020f99af,13674811,7.84,0,0
53e998c0b7602d97020fb362,13674803,7.84,0,0
53e998c7b7602d97020fd037,02776715,1.99,0,1
53e998c7b7602d97020febc4,00255564,1.58,1,2
53e998c7b7602d97020fec62,02776715,1.99,0,1
53e998c7b7602d970210073c,13674803,7.84,0,0
53e998c7b7602d97021021a9,14358921,0.91,2,4
53e998c7b7602d970210281d,03032647,1.61,1,2
53e998c7b7602d9702102dcd,03032647,1.61,1,2
53e998cdb7602d9702104de0,10958541,1.93,0,1
53e998cdb7602d9702106ab7,0006341X,1.5,1,2
53e998cdb7602d970210708e,13674811,7.84,0,0
53e998cdb7602d970210743f,10970258,1.99,0,1
53e998cdb7602d97021074ec,13674811,7.84,0,0
53e998cdb7602d97021075e9,00255564,1.58,1,2
53e998cdb7602d9702107d57,15733009,0.77,2,5
53e998ceb7602d9702109525,0006341X,1.5,1,2
53e998ceb7602d970210a7a7,13674811,7.84,0,0
53e998ceb7602d970210ac75,13674811,7.84,0,0
53e998d4b7602d970210bc2f,13674811,7.84,0,0
53e998d4b7602d970210c808,13674811,7.84,0,0
53e998d4b7602d970210c915,13674803,7.84,0,0
53e998d4b7602d970210d01d,01621459,2.16,0,0
53e998d4b7602d970210d3a2,02776715,1.99,0,1
53e998d4b7602d970210da33,13674811,7.84,0,0
53e998d5b7602d9702110584,02776715,1.99,0,1
53e998d5b7602d97021119dd,00255564,1.58,1,2
53e998d5b7602d970211279d,15205711,0.77,2,5
53e998dbb7602d9702113eb3,10618600,1.96,0,1
53e998dbb7602d9702115078,13674811,7.84,0,0
53e998dbb7602d9702117e13,02776715,1.99,0,1
53e998dbb7602d97021184c8,15410420,1.5,1,2
53e998dbb7602d97021188eb,1435926X,0.84,2,5
53e998dbb7602d9702119d59,14684357,1.69,0,1
53e998dbb7602d9702119de4,00225193,1.93,0,1
53e998e1b7602d970211cd79,15574679,0.97,2,4
53e998e1b7602d970211d9a1,1435926X,0.84,2,5
53e998e1b7602d970211f404,13674803,7.84,0,0
53e998e1b7602d9702120162,10970258,1.99,0,1
53e998e1b7602d97021204fd,00225193,1.93,0,1
53e998e1b7602d9702120736,02776715,1.99,0,1
53e998e1b7602d9702120d44,13674811,7.84,0,0
53e998e8b7602d9702121cdb,13674803,7.84,0,0
53e998e8b7602d9702122599,15729230,0.7,3,6
53e998e8b7602d9702123073,13674811,7.84,0,0
53e998e8b7602d970212398d,18638279,1.02,2,4
53e998e8b7602d9702123b10,00255564,1.58,1,2
53e998e8b7602d9702123b45,02776715,1.99,0,1
53e998e8b7602d9702123f9d,10970258,1.99,0,1
53e998e8b7602d9702124b60,03783758,0.91,2,4
53e998e8b7602d97021255ff,13674811,7.84,0,0
53e998e9b7602d97021268fe,13674811,7.84,0,0
53e998e9b7602d9702127f2f,13674811,7.84,0,0
53e998efb7602d9702129724,03032647,1.61,1,2
53e998f0b7602d970212c0e5,13674803,7.84,0,0
53e998f0b7602d970212cd0a,03032647,1.61,1,2
53e998f0b7602d970212d9c2,10958541,1.93,0,1
53e998f0b7602d970212dd30,14317613,1.44,1,2
53e998f0b7602d970212de0c,14654644,1.69,0,1
53e998f0b7602d970212e5bb,13674811,7.84,0,0
53e998f0b7602d970212f894,00255564,1.58,1,2
53e998f6b7602d97021309f4,10958541,1.93,0,1
53e998f6b7602d9702130ccd,0006341X,1.5,1,2
53e998f6b7602d970213152a,13674803,7.84,0,0
53e998f6b7602d9702132389,10958541,1.93,0,1
53e998f6b7602d9702135f09,13674803,7.84,0,0
53e998f6b7602d9702136ea9,02776715,1.99,0,1
53e998fdb7602d970213a10c,15410420,1.5,1,2
53e998fdb7602d970213ba98,00273171,2.75,0,0
53e998fdb7602d970213c17e,13674811,7.84,0,0
53e998fdb7602d970213c42c,15372693,1.06,1,3
53e998fdb7602d970213c439,03032647,1.61,1,2
53e998fdb7602d970213c842,14358921,0.91,2,4
53e998fdb7602d970213c97a,01679473,1.54,1,2
